,cell_number,concave_regularity,brittleness,sample
AL189T_44,5.49306144334055,0.276603455745153,0.801217857332897,AL189T
AL189T_45,5.04342511691925,0.15501312431329,0.572290673896954,AL189T
AL189T_46,5.31811999384422,0.288030853280525,0.80343344917153,AL189T
AL189T_47,5.26269018890489,0.313647151094101,0.708296744279921,AL189T
AL189T_48,4.92725368515721,0.151290282195437,0.666508450079391,AL189T
AL189T_49,4.70048036579242,0.247144036093443,0.673437842249868,AL189T
AL189T_50,5.12396397940326,0.077155785950142,0.703309812276556,AL189T
AL189T_51,5.23644196282995,0.268569964946063,0.805135776056807,AL189T
AL189T_52,5.25749537202778,0.412559325837799,0.918913700013663,AL189T
AL189T_53,4.98360662170834,0.110480551670958,0.718464367870578,AL189T
AL189T_54,5.15329159449778,0.287727023174109,0.801523495020966,AL189T
AL189T_55,5.11799381241676,0.141286278461112,0.693752825313336,AL189T
AL189T_56,5.37527840768417,0.150543772997223,0.660434620946613,AL189T
AL189T_57,5.03043792139244,0.0338162667584924,0.667014190337329,AL189T
AL189T_58,5.15329159449778,0.294595147061569,0.814264434088308,AL189T
AL189T_59,5.05624580534831,0.439587390383329,0.77296473211777,AL189T
AL189T_60,5.11198778835654,0.462240371588585,0.868638697363198,AL189T
AL189T_61,5.18738580584075,0.403841058368594,0.85945346674709,AL189T
AL189T_62,4.92725368515721,0.116174475556144,0.571376908081318,AL189T
AL189T_63,4.91265488573605,0.206260406377007,0.79849785460242,AL189T
AL189T_64,4.78749174278205,0.304347515536274,0.813343745330478,AL189T
AL189T_65,4.83628190695148,0.272396072781022,0.876753381932442,AL189T
AL189T_66,4.34380542185368,0.292744079236963,0.823331428891741,AL189T
AL189T_67,4.79579054559674,0.0328561419313293,0.625471157616119,AL189T
AL189T_68,5.17048399503815,0.528835289248957,0.867131134807421,AL189T
AL189T_69,5.17048399503815,0.355452138912065,0.762074325282584,AL189T
AL189T_70,5.14166355650266,0.54092517644328,0.870137917170492,AL189T
AL189T_71,5.01727983681492,0.43947925193142,0.83919109668796,AL189T
AL189T_72,4.23410650459726,0.113821340039636,0.549836399799578,AL189T
AL189T_73,4.30406509320417,0.151609571730317,0.746724681241716,AL189T
AL189T_74,4.44265125649032,0.408282787491502,0.859325749209972,AL189T
AL189T_75,4.77068462446567,0.2085722300112,0.760113891187814,AL189T
AL189T_76,5.05624580534831,0.687779868767414,0.961146819438223,AL189T
AL189T_77,4.62497281328427,0.188700935840399,0.724992770163711,AL189T
AL189T_78,4.56434819146784,0.106034237042456,0.735772575903076,AL189T
AL189T_79,4.69134788222914,0.111682249978789,0.686734335068062,AL189T
AL189T_80,4.87519732320115,0.558528871529344,0.871163924317033,AL189T
AL189T_81,4.66343909411207,0.195118461668129,0.646111741985648,AL189T
AL189T_82,4.58496747867057,0.0301166584035454,0.693744312917053,AL189T
